excelRow,huaweiType,huaweiTemplate,nokiaType,nokiaTemplate
49,,,command,"configure equipment ont interface 1/1/{slot}/{port}/{onuid} admin-state down"
50,,,command,"configure equipment ont interface 1/1/{slot}/{port}/{onuid} subslocid {password}"
51,,,command,"configure equipment ont interface 1/1/{slot}/{port}/{onuid} admin-state up"
