excelRow,huaweiType,huaweiTemplate,nokiaType,nokiaTemplate
53,,,command,"configure qos interface 1/1/{slot}/{port}/{onuid}/1/1 queue 0 shaper-profile name:{profiledata}"
54,,,command,"Z"
