CINUM,TIPO_EQUIPO,DESCRIPTION,CLASSSTRUCTUREID,DESCRIPTIONCLASSTRUCTUREID,CILOCATION,Direeción,JERARQUIA,STATUS,SIT_LOCATION,SIT_DESCRIPTION,OPERACION,PERSONGROUP,DIRECCION_IP,NOMBRE_OSS,DIRECCION_IP - NOMBRE_OSS,ZONA_OPERACIONES,ZONA_COMERCIAL,DEPTO_LOCATION,DEPTO_DESCRIPTION,MUN_LOCATION,MUN_DESCRIPTION,LOC_LOCATION,LOC_DESCRIPTION,BASERVICIO,DXSERVICIO,LINEAS_SERV,CIRCUITOS_SER,E1_SER,IPTV_SERVICIO,FABRICANTE,TIPO_SERVICIO,RED,PROVEEDOR_RED_PR,COMUNA_PR,POLIGONO_PR,REGION_PR,ZONA_OPERATIVA_PR,MES Clousing,MES,Año,Fecha Ope,Ing PE,Latitud,Longitud,Sala,Fila,Rack,Olt Corto,Fecha Cosecha,NUEVA ZONA ONNET,ZONA Secuoya,ZONA Dane,SIT_LOCATION2
OLT_FTTH_S651_04,OLT_FTTH,ISAM7360 OH_ANTALAUED_I_7360_MEDELLIN_ARANJUEZ_4 / OLT_FTTH / OLT_FTTH_S651_04,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.53.106,OH_ANTALAUED_I_7360_Medellin_Aranjuez_4,10.37.53.106 - OH_ANTALAUED_I_7360_Medellin_Aranjuez_4,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"254,00",",00","254,00",",00",",00","134,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Septiembre,2026-09-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmisión,1A,1A,OH_ANTALAUED_I_7360,2022-08-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S16046
OLT_FTTH_S651_05,OLT_FTTH,ISAM7360 OH_ANTALAUEE_I_7360_MEDELLIN_ARANJUEZ_5 / OLT_FTTH / OLT_FTTH_S651_05,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.53.118,OH_ANTALAUEE_I_7360_Medellin_Aranjuez_5,10.37.53.118 - OH_ANTALAUEE_I_7360_Medellin_Aranjuez_5,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"1.378,00",",00","1.378,00",",00",",00","739,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Noviembre,2026-11-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmision Piso 1,1,1,OH_ANTALAUEE_I_7360,2022-10-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S17719
OLT_FTTH_S651_06,OLT_FTTH,ISAM7360 OH_ANTALAUEF_I_7360_MEDELLIN_ARANJUEZ_6 / OLT_FTTH / OLT_FTTH_S651_06,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.54.30,OH_ANTALAUEF_I_7360_Medellin_Aranjuez_6,10.37.54.30 - OH_ANTALAUEF_I_7360_Medellin_Aranjuez_6,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"360,00",",00","361,00",",00",",00","166,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Enero,ene-23,2023,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmision Piso 1,1,8,OH_ANTALAUEF_I_7360,2022-12-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S20675
OLT_FTTH_S14048_02,OLT_FTTH,ISAM7360 OH_ANTALBLLB_I_7360_BELLO_CENTRO_2 / OLT_FTTH / OLT_FTTH_S14048_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S14048,CARRERA 50 # 46-46 BELLO,D_2,OPERATING,S659,BELLO_CENTRO,COLTEL,O_CAMME,10.37.54.250,OH_ANTALBLLB_I_7360_Bello_Centro_2,10.37.54.250 - OH_ANTALBLLB_I_7360_Bello_Centro_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05088,BELLO,5088000,BELLO,"60,00",",00","60,00",",00",",00","36,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,BELLO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Enero,ene-24,2024,,Oscar Alberto Briceño Ramirez,6.332222,-75.558111,Salon Tx 2,1,1,OH_ANTALBLLB_I_7360,2023-12-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S20449
OLT_FTTH_S14048_01,OLT_FTTH,ISAM7360 OH_ANTALBLLO_I_7360_BELLO_CENTRO / OLT_FTTH / OLT_FTTH_S14048_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S14048,CARRERA 50 # 46-46 BELLO,D_2,OPERATING,S659,BELLO_CENTRO,COLTEL,O_CAMME,10.37.54.114,OH_ANTALBLLO_I_7360_Bello_Centro,10.37.54.114 - OH_ANTALBLLO_I_7360_Bello_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05088,BELLO,5088000,BELLO,"35,00",",00","35,00",",00",",00","9,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,BELLO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.332222,-75.558111,Salon Tx 2,1,1,OH_ANTALBLLO_I_7360,2023-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23271
OLT_FTTH_S29736_01,OLT_FTTH,ISAM7360 OH_ANTALCANA_I_7360_COPACABANA_CENTRO / OLT_FTTH / OLT_FTTH_S29736_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29736,"Calle 53 No. 57-27, Copacabana, Antioquia",B_2,OPERATING,S29736,COPACABANA CENTRO FIJA,COLTEL,O_CAMME,10.37.65.158,OH_ANTALCANA_I_7360_Copacabana_Centro,10.37.65.158 - OH_ANTALCANA_I_7360_Copacabana_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05212,COPACABANA,5212000,COPACABANA,0,0,0,0,0,0,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,COPACABANA,AREA METROPOLITANA ANTIOQUIA,NOROCCIDENTE,NOROCCIDENTE,Noviembre,2026-11-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,,,,,,OH_ANTALCANA_I_7360,2024-10-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23271
OLT_FTTH_S10080__01,OLT_FTTH,,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S10080,CALLE 122 SUR  - CARRERA 54 ESQUINA,B_2,OPERATING,S10080,CALDAS_CENTRO,Onnet,,10.37.65.234,OH_ANTALCDAS_I_7360_Caldas_Centro,10.37.65.234 - OH_ANTALCDAS_I_7360_Caldas_Centro,,,,CALDAS,,CALDAS,5129000,CALDAS,,,,,,,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,CALDAS,ANTIOQUIA (GIRARDOTA/CALDAS),MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Febrero,2026-02-25T00:00:00,2025,,Oscar Alberto Briceño Ramirez,609739153,-756362454,Salon 1,1,1,OH_ANTALCDAS_I_7360,2025-01-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S12972
OLT_FTTH_S9120_01,OLT_FTTH,ISAM7360 OH_ANTALCLLA_I_7360_MEDELLIN_CASTILLA / OLT_FTTH / OLT_FTTH_S9120_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.55.14,OH_ANTALCLLA_I_7360_Medellin_Castilla,10.37.55.14 - OH_ANTALCLLA_I_7360_Medellin_Castilla,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"229,00",",00","229,00",",00",",00","139,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Agosto,ago-23,2023,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,Piso 1,1,1,OH_ANTALCLLA_I_7360,2023-07-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S6798
OLT_FTTH_S9120_02,OLT_FTTH,ISAM7360 OH_ANTALCLLB_I_7360_MEDELLIN_CASTILLA_2 / OLT_FTTH / OLT_FTTH_S9120_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.55.90,OH_ANTALCLLB_I_7360_Medellin_Castilla_2,10.37.55.90 - OH_ANTALCLLB_I_7360_Medellin_Castilla_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"86,00",",00","86,00",",00",",00","29,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Octubre,2026-10-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,,,,OH_ANTALCLLB_I_7360,2023-09-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23784
OLT_FTTH_S9120_03,OLT_FTTH,ISAM7360 OH_ANTALCLLC_I_7360_MEDELLIN_CASTILLA_3 / OLT_FTTH / OLT_FTTH_S9120_03,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.65.34,OH_ANTALCLLC_I_7360_Medellin_Castilla_3,10.37.65.34 - OH_ANTALCLLC_I_7360_Medellin_Castilla_3,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,43,0,43,0,0,27,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,6.296249,-75.570524,,,,OH_ANTALCLLC_I_7360,2024-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23784
OLT_FTTH_S9120_04,OLT_FTTH,ISAM7360 OH_ANTALCLLD_I_7360_MEDELLIN_CASTILLA_4 / OLT_FTTH / OLT_FTTH_S9120_04,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S9120,"CARRERA 68 NO 100-59, CASTILLA",B_2,OPERATING,S9120,MEDELLIN_CASTILLA,COLTEL,O_CAMME,10.37.65.218,OH_ANTALCLLD_I_7360_Medellin_Castilla_4,10.37.65.218 - OH_ANTALCLLD_I_7360_Medellin_Castilla_4,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,350,0,350,0,0,185,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Octubre,2026-10-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,,,,,,OH_ANTALCLLD_I_7360,2024-09-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S10123
OLT_FTTH_S29721_01,OLT_FTTH,ISAM7360 OH_ANTALCRAL_I_7360_CVIBORAL_CENTRO / OLT_FTTH / OLT_FTTH_S29721_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29721,Calle 39 # 29-81 en el Municipio de Carmen de Viboral,D_2,OPERATING,S29721,CARMEN_VIBORAL_CENTRO,COLTEL,O_CAMME,10.37.65.154,OH_ANTALCRAL_I_7360_CViboral_Centro,10.37.65.154 - OH_ANTALCRAL_I_7360_CViboral_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05148,CARMEN DE VIBORAL,5148000,EL CARMEN DE VIBORAL,0,0,4,0,0,2,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,CARMEN DE VIBORAL,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Julio,2026-07-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,6.089783,-75.337293,,,,OH_ANTALCRAL_I_7360,2024-06-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S4737
OLT_FTTH_S28781_02,OLT_FTTH,ISAM7360 OH_ANTALFICB_I_7360_MEDELLIN_FEDERICO_2 / OLT_FTTH / OLT_FTTH_S28781_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S28781,"Carrera 35 # 45-06, a un costado del Colegio Federico Sanam",D_2,OPERATING,S28781,MEDELLIN_FEDERICO,COLTEL,O_CAMME,10.37.54.142,OH_ANTALFICB_I_7360_Medellin_Federico_2,10.37.54.142 - OH_ANTALFICB_I_7360_Medellin_Federico_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"150,00",",00","150,00",",00",",00","58,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.240066,-75.5579,Piso 1,1,2,OH_ANTALFICB_I_7360,2023-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S17725
OLT_FTTH_S28781_03,OLT_FTTH,ISAM7360 OH_ANTALFICC_I_7360_MEDELLIN_FEDERICO_3 / OLT_FTTH / OLT_FTTH_S28781_03,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S28781,"Carrera 35 # 45-06, a un costado del Colegio Federico Sanam",D_2,OPERATING,S28781,MEDELLIN_FEDERICO,COLTEL,O_CAMME,"10,37,55,30",OH_ANTALFICC_I_7360_Medellin_Federico_3,"10,37,55,30 - OH_ANTALFICC_I_7360_Medellin_Federico_3",NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"104,00",",00","104,00",",00",",00","66,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Agosto,ago-23,2023,,Oscar Alberto Briceño Ramirez,6.240066,-75.5579,Piso 1,1A,1A,OH_ANTALFICC_I_7360,2023-07-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S287
OLT_FTTH_S28781_01,OLT_FTTH,ISAM7360 OH_ANTALFICO_I_7360_MEDELLIN_FEDERICO_1 / OLT_FTTH / OLT_FTTH_S28781_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S28781,"Carrera 35 # 45-06, a un costado del Colegio Federico Sanam",D_2,OPERATING,S28781,MEDELLIN_FEDERICO,COLTEL,O_CAMME,10.37.54.66,OH_ANTALFICO_I_7360_Medellin_Federico_1,10.37.54.66 - OH_ANTALFICO_I_7360_Medellin_Federico_1,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"382,00",",00","382,00",",00",",00","265,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Abril,abr-23,2023,,Oscar Alberto Briceño Ramirez,6.240066,-75.5579,Piso 1,1,1,OH_ANTALFICO_I_7360,2023-03-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S21557
OLT_FTTH_S29742__01,OLT_FTTH,,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29742,CALLE 9 # 14-118,B_2,OPERATING,S6677,GIRARDOTA_CENTRO,Onnet,,10.37.65.238,OH_ANTALGOTA_I_7360_Girardota_Centro,10.37.65.238 - OH_ANTALGOTA_I_7360_Girardota_Centro,,,,ANTIOQUIA,,GIRARDOTA,5308000,ANTIOQUIA,,,,,,,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,GIRARDOTA,ANTIOQUIA (GIRARDOTA/CALDAS),MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Febrero,2026-02-25T00:00:00,2025,,Oscar Alberto Briceño Ramirez,6.37755323,-75.44159147,Salon 1,1,1,OH_ANTALGOTA_I_7360,2025-01-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S5571
OLT_FTTH_S16892_04,OLT_FTTH,ISAM7360 OH_ANTALIGUD_I_7360_ITAGUI_CENTRO_4 / OLT_FTTH / OLT_FTTH_S16892_04,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S16892,CR 47A NO. 51 - 26,P_3,OPERATING,S16892,ITAGUI_CENTRO,COLTEL,O_CAMME,10.37.54.202,OH_ANTALIGUD_I_7360_Itagui_Centro_4,10.37.54.202 - OH_ANTALIGUD_I_7360_Itagui_Centro_4,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05360,ITAGUI,5360000,ITAGUI,"223,00",",00","223,00",",00",",00","153,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,ITAGUI,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Septiembre,2026-09-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.170402,-75.607687,Salon Tx,1,B1,OH_ANTALIGUD_I_7360,2023-08-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23827
OLT_FTTH_S16892_05,OLT_FTTH,ISAM7360 OH_ANTALIGUE_I_7360_ITAGUI_CENTRO_5 / OLT_FTTH / OLT_FTTH_S16892_05,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S16892,CR 47A NO. 51 - 26,P_3,OPERATING,S16892,ITAGUI,COLTEL,O_CAMME,10.37.65.186,OH_ANTALIGUE_I_7360_Itagui_Centro_5,10.37.65.186 - OH_ANTALIGUE_I_7360_Itagui_Centro_5,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05360,ITAGUI,5360000,ITAGUI,157,0,157,0,0,83,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,ITAGUI,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,6.170402,-75.607687,,,,OH_ANTALIGUE_I_7360,2024-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S16641
OLT_FTTH_S29720_01,OLT_FTTH,ISAM7360 OH_ANTALLEJA_I_7360_LACEJA_CENTRO / OLT_FTTH / OLT_FTTH_S29720_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29720,"Carrera 20 # 9-152, municipio de La Ceja- Antioquia",D_2,OPERATING,S29720,LA_CEJA_CENTRO,COLTEL,O_CAMME,10.37.65.162,OH_ANTALLEJA_I_7360_LaCeja_Centro,10.37.65.162 - OH_ANTALLEJA_I_7360_LaCeja_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05376,LA CEJA,5376000,LA CEJA,0,0,34,0,0,18,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,LA CEJA,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Julio,2026-07-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,6.02387,-75.43315,,,,OH_ANTALLEJA_I_7360,2024-06-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23403
OLT_FTTH_S29725_01,OLT_FTTH,ISAM7360 OH_ANTALMLLA_I_7360_MARINILLA_CENTRO / OLT_FTTH / OLT_FTTH_S29725_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29725,Calle 31 No 43-93 garaje 101 del Municipio de Marinilla - Antioquia,B_2,OPERATING,S29725,MARINILLA CENTRO FIJA,COLTEL,O_CAMME,10.37.65.170,OH_ANTALMLLA_I_7360_Marinilla_Centro,10.37.65.170 - OH_ANTALMLLA_I_7360_Marinilla_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05440,MARINILLA,5440000,MARINILLA,0,0,0,0,0,0,NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,MARINILLA,AREA METROPOLITANA ANTIOQUIA,NOROCCIDENTE,NOROCCIDENTE,Noviembre,2026-11-24T00:00:00,2024,,Oscar Alberto Briceño Ramirez,,,,,,OH_ANTALMLLA_I_7360,2024-10-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S17189
OLT_FTTH_S29533_02,OLT_FTTH,ISAM7360 OH_ANTALRGRB_I_7360_RIONEGRO_CENTRO_2 / OLT_FTTH / OLT_FTTH_S29533_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29533,"Carrera 68 #   41A-25.  Rionegro, Antioquia",D_2,OPERATING,S29533,RIONEGRO_CENTRO,COLTEL,O_CAMME,10.37.65.58,OH_ANTALRGRB_I_7360_Rionegro_Centro_2,10.37.65.58 - OH_ANTALRGRB_I_7360_Rionegro_Centro_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05615,RIONEGRO,5615000,RIONEGRO,"14,00",",00","14,00",",00",",00","3,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,RIONEGRO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Enero,ene-24,2024,,Oscar Alberto Briceño Ramirez,6.149299,-75.388128,Salon FTHH,1,A1,OH_ANTALRGRB_I_7360,2023-12-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S304
OLT_FTTH_S29533_01,OLT_FTTH,ISAM7360 OH_ANTALRGRO_I_7360_RIONEGRO_CENTRO / OLT_FTTH / OLT_FTTH_S29533_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S29533,"Carrera 68 #   41A-25.  Rionegro, Antioquia",D_2,OPERATING,S29533,RIONEGRO_CENTRO,COLTEL,O_CAMME,10.37.54.210,OH_ANTALRGRO_I_7360_Rionegro_Centro,10.37.54.210 - OH_ANTALRGRO_I_7360_Rionegro_Centro,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05615,RIONEGRO,5615000,RIONEGRO,"59,00",",00","59,00",",00",",00","21,00",NOKIA,DATOS,FIJA-MOVISTAR,INFRACO,RIONEGRO,AM ANTIOQUIA,MEDELLIN + NOROCCIDENTE,NOROCCIDENTE,Septiembre,2026-09-23T00:00:00,2023,,Oscar Alberto Briceño Ramirez,6.149299,-75.388128,Salon FTHH,1,A1,OH_ANTALRGRO_I_7360,2023-08-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23229
OLT_FTTH_S651_02,OLT_FTTH,MA5800 OH_ANTHIAUEB_I_5800_MEDELLIN_ARANJUEZ_2 / OLT_FTTH / OLT_FTTH_S651_02,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.52.74,OH_ANTHIAUEB_I_5800_Medellin_Aranjuez_2,10.37.52.74 - OH_ANTHIAUEB_I_5800_Medellin_Aranjuez_2,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"219,00",",00","219,00",",00",",00","145,00",HUAWEI,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Mayo,2026-05-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmisión,1A,1A,OH_ANTHIAUEB_I_5800,2022-04-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S742
OLT_FTTH_S651_03,OLT_FTTH,MA5800 OH_ANTHIAUEC_I_5800_MEDELLIN_ARANJUEZ_3 / OLT_FTTH / OLT_FTTH_S651_03,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.53.70,OH_ANTHIAUEC_I_5800_Medellin_Aranjuez_3,10.37.53.70 - OH_ANTHIAUEC_I_5800_Medellin_Aranjuez_3,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"342,00",",00","342,00",",00",",00","169,00",HUAWEI,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Junio,2026-06-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmisión,B,1B,OH_ANTHIAUEC_I_5800,2022-05-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23282
OLT_FTTH_S651_01,OLT_FTTH,MA5800 OH_ANTHIAUEZ_I_5800_MEDELLIN_ARANJUEZ_1 / OLT_FTTH / OLT_FTTH_S651_01,3289,ACCESO FIJO \ PS FIJO \ DSLAM,S651,CARRERA 51 # 89 - 48,P_3,OPERATING,S651,MEDELLIN_ARANJUEZ,COLTEL,O_CAMME,10.37.52.70,OH_ANTHIAUEZ_I_5800_Medellin_Aranjuez_1,10.37.52.70 - OH_ANTHIAUEZ_I_5800_Medellin_Aranjuez_1,NOROCCIDENTE,NOROCCIDENTE,D05,ANTIOQUIA,M05001,MEDELLIN,5001000,MEDELLIN,"90,00",",00","633,00",",00",",00","474,00",HUAWEI,DATOS,FIJA-MOVISTAR,INFRACO,MEDELLIN,MEDELLIN,Medellin + NOROCCIDENTE,NOROCCIDENTE,Marzo,2026-03-22T00:00:00,2022,,Oscar Alberto Briceño Ramirez,6.28167,-75.5608,Transmisión,1A,1A,OH_ANTHIAUEZ_I_5800,2022-02-01T00:00:00,NOROCCIDENTE,MEDELLIN + NOROCCIDENTE,Zona1,S23795
